Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh,newStrat_rankMA50,newStrat_rankMA200
0882,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$31107,True,3.90%,-42.97%,0.09,19.54,130,44.62%,2.50%,26.88%,17.14%,168.19,79.67,1.20,23.05%,0.42,101.74%,139.92%,101.96%,146.90%,10.26%,3.31%,-0.04%,0.00%,0.00%,-42.97%,-29.73%,-28.35%,-16.93%,-16.18%,0.23,0.12,250,175,12,0.04,50,200
0883,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$26704,True,3.35%,-25.53%,0.13,13.51,175,45.71%,1.78%,16.17%,10.33%,124.24,58.59,1.25,14.24%,0.45,94.12%,129.27%,94.54%,135.47%,33.90%,10.22%,3.35%,0.00%,0.00%,-25.53%,-22.40%,-10.22%,-11.51%,-13.33%,0.29,0.17,200,150,10,0.025,50,200
0884,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$152326,True,13.70%,-37.08%,0.37,16.41,136,45.59%,9.41%,38.61%,15.06%,166.03,71.57,1.81,25.99%,0.96,97.03%,128.99%,97.19%,134.01%,89.59%,23.77%,14.74%,0.00%,0.00%,-37.08%,-31.04%,-22.78%,-13.10%,-11.36%,1.05,0.45,200,150,10,0.045,50,200
0885,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$135275,True,12.67%,-41.45%,0.31,25.04,132,46.97%,8.40%,36.18%,16.20%,163.87,76.64,1.71,27.07%,0.88,98.03%,127.93%,98.23%,130.89%,67.22%,18.69%,16.19%,0.00%,0.00%,-41.45%,-40.48%,-32.75%,-21.12%,-22.00%,0.60,0.33,225,150,9,0.045,50,200
0886,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$135275,True,12.67%,-41.45%,0.31,25.04,132,46.97%,8.40%,36.18%,16.20%,163.87,76.64,1.71,27.07%,0.88,98.03%,127.93%,98.23%,130.89%,67.22%,18.69%,16.19%,0.00%,0.00%,-41.45%,-40.48%,-32.75%,-21.12%,-22.00%,0.60,0.33,225,250,9,0.045,50,200
0887,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$37110,True,4.58%,-16.98%,0.27,7.48,201,43.78%,1.80%,10.23%,4.77%,113.06,45.32,1.58,8.42%,0.83,87.15%,116.68%,87.70%,117.59%,22.69%,7.05%,2.38%,0.00%,0.00%,-16.98%,-15.33%,-6.94%,-5.64%,-4.14%,0.81,0.35,225,250,8,0.015,50,200
0888,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$55505,True,6.26%,-42.13%,0.15,28.07,154,44.16%,3.94%,24.96%,12.68%,148.88,63.36,1.39,19.93%,0.61,96.14%,131.41%,96.42%,137.12%,37.82%,11.29%,4.84%,0.00%,0.00%,-42.13%,-27.09%,-17.29%,-24.44%,-27.84%,0.26,0.22,200,250,8,0.035,50,200
0889,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$41333,True,4.95%,-16.33%,0.30,7.59,209,42.58%,1.83%,9.80%,4.08%,111.15,41.30,1.68,8.42%,0.93,86.03%,113.68%,86.54%,115.37%,19.65%,6.16%,1.58%,0.00%,0.00%,-16.33%,-14.88%,-10.53%,-5.79%,-4.35%,0.86,0.36,200,200,12,0.015,50,200
0890,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$185657,True,15.55%,-52.55%,0.30,29.12,138,42.03%,10.85%,48.37%,16.36%,166.36,72.67,1.77,29.67%,0.97,97.55%,132.39%,97.71%,137.61%,94.78%,24.89%,19.03%,0.00%,0.00%,-52.55%,-40.59%,-33.49%,-23.83%,-23.63%,0.65,0.37,200,250,10,0.05,50,200
0891,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$41928,True,4.93%,-29.31%,0.17,16.73,153,44.44%,2.98%,19.75%,10.43%,135.50,71.61,1.41,16.59%,0.57,95.06%,121.81%,95.41%,122.87%,46.39%,13.55%,4.45%,0.00%,0.00%,-29.31%,-27.83%,-8.78%,-14.27%,-16.51%,0.35,0.22,225,250,9,0.03,50,200
0892,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$75380,True,8.14%,-39.88%,0.20,24.47,153,43.79%,4.76%,26.20%,11.94%,153.09,62.08,1.52,20.02%,0.73,96.50%,131.69%,96.77%,134.10%,47.05%,13.72%,6.20%,0.00%,0.00%,-39.88%,-25.02%,-18.39%,-21.18%,-22.33%,0.38,0.29,200,250,9,0.035,50,200
0893,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$51741,True,6.06%,-16.40%,0.37,7.32,215,47.44%,2.17%,9.93%,4.84%,102.24,41.04,1.78,8.12%,1.14,87.06%,116.28%,87.60%,118.27%,33.20%,10.03%,3.76%,0.00%,0.00%,-16.40%,-14.66%,-7.23%,-5.45%,-3.93%,1.11,0.47,175,250,8,0.015,50,200
0894,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$29848,True,3.65%,-36.86%,0.10,19.71,149,44.97%,2.31%,19.93%,12.09%,130.39,80.77,1.26,18.07%,0.44,99.02%,124.86%,99.35%,127.80%,31.64%,9.60%,0.03%,0.00%,0.00%,-36.86%,-35.28%,-33.01%,-16.86%,-16.98%,0.22,0.10,250,200,8,0.03,50,200
0895,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$83065,True,8.60%,-35.67%,0.24,18.21,165,43.03%,4.48%,24.79%,10.87%,138.04,58.71,1.53,19.86%,0.80,97.02%,122.52%,97.29%,126.08%,26.76%,8.22%,7.01%,0.00%,0.00%,-35.67%,-32.28%,-17.44%,-15.32%,-14.80%,0.56,0.30,175,175,10,0.035,50,200
0896,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$83477,True,8.82%,-31.79%,0.28,15.69,150,46.67%,5.14%,25.42%,12.61%,149.74,63.94,1.55,19.85%,0.79,95.99%,127.08%,96.27%,128.35%,29.01%,8.86%,7.01%,0.00%,0.00%,-31.79%,-26.68%,-22.51%,-12.83%,-12.09%,0.69,0.33,200,250,12,0.035,50,200
0897,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$87886,True,9.21%,-50.27%,0.18,30.6,132,46.21%,6.90%,35.04%,17.27%,167.82,73.08,1.50,26.96%,0.69,96.65%,128.19%,96.84%,131.05%,78.28%,21.25%,13.28%,0.00%,0.00%,-50.27%,-43.33%,-32.74%,-25.94%,-26.49%,0.36,0.22,225,200,8,0.045,50,200
0898,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$32347,True,4.05%,-28.54%,0.14,15.38,168,42.86%,2.27%,18.08%,9.58%,121.51,65.45,1.32,15.70%,0.49,91.65%,122.12%,92.00%,123.86%,38.91%,11.58%,3.62%,0.00%,0.00%,-28.54%,-25.79%,-23.47%,-12.77%,-14.21%,0.32,0.16,200,225,12,0.03,50,200
0899,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$253436,True,19.21%,-47.44%,0.41,24.38,160,37.50%,10.24%,52.79%,15.30%,155.03,65.56,1.93,33.74%,1.08,104.86%,146.46%,104.99%,148.61%,95.08%,24.95%,25.99%,0.00%,0.00%,-47.44%,-37.99%,-28.96%,-20.48%,-21.50%,0.94,0.50,175,150,12,0.05,50,200
