Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh,newStrat_rankMA50,newStrat_rankMA200
0493,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$84275437,True,29.60%,-35.46%,0.83,12.14,478,51.88%,18.39%,44.26%,9.51%,166.78,52.46,2.90,16.82%,2.60,95.96%,125.10%,96.07%,129.66%,42.11%,12.43%,13.80%,20.44%,13.20%,-35.46%,-26.65%,-25.25%,-8.32%,-5.22%,3.56,1.02,150,175,9,0.03,52,150
0492,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$23582641,True,23.55%,-47.55%,0.50,16,302,53.97%,27.51%,63.66%,14.88%,258.05,83.71,3.20,16.97%,2.10,95.40%,127.48%,95.48%,137.66%,103.18%,26.66%,18.67%,17.46%,11.33%,-47.55%,-32.69%,-31.43%,-11.19%,-7.10%,2.10,0.63,250,175,9,0.03,57,150
0491,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$67187609,True,28.63%,-47.40%,0.60,16.52,293,55.97%,37.22%,78.44%,15.19%,263.20,80.84,3.42,20.16%,2.12,97.04%,131.34%,97.10%,142.91%,112.01%,28.47%,18.60%,17.86%,11.58%,-47.40%,-33.61%,-31.43%,-11.26%,-6.80%,2.54,0.76,250,175,8,0.03,57,150
0490,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$63255677,True,28.33%,-56.49%,0.50,19.99,309,50.81%,33.56%,84.70%,19.26%,257.82,94.40,2.34,26.96%,1.62,103.11%,144.43%,103.15%,180.58%,83.80%,22.49%,12.20%,20.06%,12.96%,-56.49%,-45.27%,-44.14%,-15.46%,-13.31%,1.83,0.58,250,175,8,0.05,47,150
0489,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$34897395,True,25.42%,-52.63%,0.48,20.6,305,50.82%,32.45%,82.25%,19.01%,256.92,97.98,1.94,24.72%,1.60,101.00%,146.15%,101.04%,169.46%,37.47%,11.19%,3.65%,13.33%,8.70%,-52.63%,-46.16%,-44.70%,-15.74%,-13.40%,1.62,0.53,250,175,10,0.05,47,210
0488,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$34897395,True,25.42%,-52.63%,0.48,20.6,305,50.82%,32.45%,82.25%,19.01%,256.92,97.98,1.94,24.72%,1.60,101.00%,146.15%,101.04%,169.46%,37.47%,11.19%,3.65%,13.33%,8.70%,-52.63%,-46.16%,-44.70%,-15.74%,-13.40%,1.62,0.53,250,225,10,0.05,50,210
0487,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$31243262,True,24.89%,-37.84%,0.66,12.71,297,56.23%,27.60%,58.20%,11.71%,254.35,74.82,3.24,15.09%,2.47,94.30%,124.36%,94.40%,133.73%,79.96%,21.63%,17.27%,15.45%,10.05%,-37.84%,-27.80%,-25.28%,-8.59%,-4.84%,2.90,0.82,250,150,12,0.025,50,200
0486,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$79000437,True,29.44%,-45.79%,0.64,17.7,296,53.38%,37.37%,85.70%,17.97%,268.00,93.74,2.62,23.97%,1.87,101.80%,137.65%,101.84%,162.32%,69.65%,19.27%,12.93%,18.42%,11.93%,-45.79%,-45.50%,-40.15%,-13.06%,-10.35%,2.25,0.67,250,150,12,0.045,50,235
0485,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$57501235,True,27.86%,-47.55%,0.59,18.77,310,51.94%,34.21%,82.51%,17.97%,262.35,88.70,2.21,24.24%,1.77,102.27%,135.32%,102.31%,162.52%,57.23%,16.28%,6.51%,15.66%,10.18%,-47.55%,-45.82%,-42.15%,-14.11%,-11.76%,1.97,0.62,250,150,11,0.045,57,155
0484,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$79000437,True,29.44%,-45.79%,0.64,17.7,296,53.38%,37.37%,85.70%,17.97%,268.00,93.74,2.62,23.97%,1.87,101.80%,137.65%,101.84%,162.32%,69.65%,19.27%,12.93%,18.42%,11.93%,-45.79%,-45.50%,-40.15%,-13.06%,-10.35%,2.25,0.67,250,150,12,0.045,57,155
0483,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$31344651,True,24.91%,-47.75%,0.52,14.55,302,52.65%,28.37%,68.29%,16.02%,257.42,90.45,2.85,19.44%,1.96,98.14%,133.07%,98.20%,140.61%,63.51%,17.81%,17.05%,17.02%,11.05%,-47.75%,-28.66%,-28.48%,-10.58%,-8.16%,2.35,0.71,250,150,12,0.035,57,155
0482,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$130111983,True,31.76%,-48.49%,0.65,16.93,483,47.41%,20.25%,58.98%,14.67%,173.14,54.99,2.37,24.72%,1.89,99.62%,147.08%,99.66%,155.57%,68.57%,19.01%,25.66%,31.84%,20.23%,-48.49%,-42.70%,-35.85%,-12.87%,-11.08%,2.47,0.75,150,150,12,0.05,57,170
0481,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$130111983,True,31.76%,-48.49%,0.65,16.93,483,47.41%,20.25%,58.98%,14.67%,173.14,54.99,2.37,24.72%,1.89,99.62%,147.08%,99.66%,155.57%,68.57%,19.01%,25.66%,31.84%,20.23%,-48.49%,-42.70%,-35.85%,-12.87%,-11.08%,2.47,0.75,150,150,12,0.05,42,170
0480,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$130111983,True,31.76%,-48.49%,0.65,16.93,483,47.41%,20.25%,58.98%,14.67%,173.14,54.99,2.37,24.72%,1.89,99.62%,147.08%,99.66%,155.57%,68.57%,19.01%,25.66%,31.84%,20.23%,-48.49%,-42.70%,-35.85%,-12.87%,-11.08%,2.47,0.75,150,150,12,0.05,42,240
0479,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$82930209,True,29.53%,-43.88%,0.67,17.72,366,48.09%,25.01%,69.16%,15.89%,219.57,76.08,2.86,24.64%,1.80,101.18%,142.73%,101.21%,153.38%,81.50%,21.98%,25.64%,28.93%,18.46%,-43.88%,-42.39%,-35.83%,-13.79%,-11.80%,2.14,0.73,200,150,12,0.05,42,240
0478,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$82930209,True,29.53%,-43.88%,0.67,17.72,366,48.09%,25.01%,69.16%,15.89%,219.57,76.08,2.86,24.64%,1.80,101.18%,142.73%,101.21%,153.38%,81.50%,21.98%,25.64%,28.93%,18.46%,-43.88%,-42.39%,-35.83%,-13.79%,-11.80%,2.14,0.73,200,150,12,0.05,50,240
0477,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$64615150,True,28.29%,-58.34%,0.48,19.2,372,49.19%,22.58%,62.01%,15.59%,210.43,75.48,2.82,23.88%,1.77,100.64%,133.77%,100.68%,162.58%,88.05%,23.43%,18.39%,23.11%,14.87%,-58.34%,-41.83%,-35.54%,-14.53%,-11.97%,1.95,0.63,200,150,9,0.05,42,240
0476,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$64615150,True,28.29%,-58.34%,0.48,19.2,372,49.19%,22.58%,62.01%,15.59%,210.43,75.48,2.82,23.88%,1.77,100.64%,133.77%,100.68%,162.58%,88.05%,23.43%,18.39%,23.11%,14.87%,-58.34%,-41.83%,-35.54%,-14.53%,-11.97%,1.95,0.63,200,150,9,0.05,42,245
0475,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$43769384,True,26.39%,-42.87%,0.62,16.77,370,48.38%,21.24%,60.48%,15.53%,214.85,75.82,2.54,23.63%,1.69,101.08%,140.60%,101.12%,153.92%,66.81%,18.60%,15.68%,22.75%,14.64%,-42.87%,-41.73%,-35.52%,-13.01%,-11.47%,2.03,0.66,200,150,10,0.05,42,245
0474,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$43769384,True,26.39%,-42.87%,0.62,16.77,370,48.38%,21.24%,60.48%,15.53%,214.85,75.82,2.54,23.63%,1.69,101.08%,140.60%,101.12%,153.92%,66.81%,18.60%,15.68%,22.75%,14.64%,-42.87%,-41.73%,-35.52%,-13.01%,-11.47%,2.03,0.66,200,175,10,0.05,42,165
0473,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$43769384,True,26.39%,-42.87%,0.62,16.77,370,48.38%,21.24%,60.48%,15.53%,214.85,75.82,2.54,23.63%,1.69,101.08%,140.60%,101.12%,153.92%,66.81%,18.60%,15.68%,22.75%,14.64%,-42.87%,-41.73%,-35.52%,-13.01%,-11.47%,2.03,0.66,200,175,10,0.05,57,165
0472,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$43769384,True,26.39%,-42.87%,0.62,16.77,370,48.38%,21.24%,60.48%,15.53%,214.85,75.82,2.54,23.63%,1.69,101.08%,140.60%,101.12%,153.92%,66.81%,18.60%,15.68%,22.75%,14.64%,-42.87%,-41.73%,-35.52%,-13.01%,-11.47%,2.03,0.66,200,250,10,0.05,52,165
0471,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$43769384,True,26.39%,-42.87%,0.62,16.77,370,48.38%,21.24%,60.48%,15.53%,214.85,75.82,2.54,23.63%,1.69,101.08%,140.60%,101.12%,153.92%,66.81%,18.60%,15.68%,22.75%,14.64%,-42.87%,-41.73%,-35.52%,-13.01%,-11.47%,2.03,0.66,200,200,10,0.05,62,175
0470,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$43769384,True,26.39%,-42.87%,0.62,16.77,370,48.38%,21.24%,60.48%,15.53%,214.85,75.82,2.54,23.63%,1.69,101.08%,140.60%,101.12%,153.92%,66.81%,18.60%,15.68%,22.75%,14.64%,-42.87%,-41.73%,-35.52%,-13.01%,-11.47%,2.03,0.66,200,250,10,0.05,50,155
0469,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$32873037,True,25.01%,-53.61%,0.47,18.66,340,48.24%,22.65%,65.28%,17.06%,243.63,84.35,2.16,24.68%,1.57,100.38%,141.11%,100.43%,167.13%,39.46%,11.72%,13.20%,16.16%,10.50%,-53.61%,-46.34%,-35.95%,-14.08%,-11.76%,1.78,0.55,225,225,10,0.05,50,155
0468,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$137053757,True,32.03%,-49.59%,0.65,16.93,473,48.41%,20.78%,58.85%,14.95%,174.24,54.47,2.45,24.68%,1.90,99.64%,149.18%,99.67%,157.66%,76.35%,20.82%,25.98%,31.16%,19.82%,-49.59%,-43.22%,-33.89%,-12.84%,-11.31%,2.49,0.76,150,225,10,0.05,50,250
0467,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$137053757,True,32.03%,-49.59%,0.65,16.93,473,48.41%,20.78%,58.85%,14.95%,174.24,54.47,2.45,24.68%,1.90,99.64%,149.18%,99.67%,157.66%,76.35%,20.82%,25.98%,31.16%,19.82%,-49.59%,-43.22%,-33.89%,-12.84%,-11.31%,2.49,0.76,150,250,10,0.05,50,250
0466,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$64056990,True,28.25%,-45.02%,0.63,14.92,412,49.27%,19.50%,55.40%,15.37%,191.98,69.00,2.85,23.60%,1.79,100.51%,134.48%,100.55%,140.89%,99.43%,25.87%,24.64%,27.48%,17.57%,-45.02%,-38.43%,-34.18%,-11.41%,-9.54%,2.48,0.72,175,250,10,0.05,57,250
0465,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$85984488,True,29.71%,-41.50%,0.72,15.27,417,49.64%,20.69%,57.29%,15.39%,191.25,68.27,2.96,24.18%,1.86,100.75%,138.85%,100.79%,159.31%,92.90%,24.48%,24.35%,27.94%,17.85%,-41.50%,-38.25%,-36.12%,-11.79%,-10.36%,2.52,0.77,175,250,9,0.05,57,250
0464,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$85984488,True,29.71%,-41.50%,0.72,15.27,417,49.64%,20.69%,57.29%,15.39%,191.25,68.27,2.96,24.18%,1.86,100.75%,138.85%,100.79%,159.31%,92.90%,24.48%,24.35%,27.94%,17.85%,-41.50%,-38.25%,-36.12%,-11.79%,-10.36%,2.52,0.77,175,250,9,0.05,37,250
